temperature,humidity,wind_speed,clothing_type
10.3,42.5,20.84,heavy
-8.3,49.19,17.49,heavy
22.47,36.94,9.19,
35.18,15.86,3.11,
21.22,41.07,7.96,
32.64,36.27,12.49,low
21.98,88.53,9.2,
39.25,91.16,27.24,low
-5.9,36.17,15.58,heavy
38.92,53.47,19.52,low
32.67,3.39,20.7,low
8.02,47.54,1.59,
37.76,34.81,29.39,low
-4.13,76.45,14.56,heavy
32.54,50.15,3.64,
19.48,9.56,18.15,moderate
-3.41,43.17,27.94,heavy
18.49,93.83,17.25,moderate
-8.47,22.44,2.85,
27.11,57.84,29.04,low
29.59,30.85,13.77,low
18.31,76.37,26.65,moderate
8.12,57.29,20.14,heavy
-0.94,93.12,24.28,heavy
3.62,31.83,18.15,heavy
6.96,40.26,25.22,heavy
-6.26,72.02,6.69,
33.07,59.13,2.28,
25.42,59.09,0.22,
4.57,46.48,11.64,heavy
31.14,93.27,7.22,
36.85,17.52,29.77,low
7.32,80.59,8.34,
10.67,88.66,5.8,
28.83,80.21,0.27,
12.89,46.4,6.47,
-0.24,89.16,28.45,heavy
6.6,94.51,19.0,heavy
18.88,23.97,8.9,
13.6,81.67,7.83,
20.04,34.82,6.45,
32.54,25.79,5.19,
22.14,56.53,20.4,moderate
11.17,47.97,21.3,heavy
18.28,40.07,22.64,moderate
7.27,53.37,20.77,heavy
10.2,27.16,16.46,heavy
23.22,11.26,11.91,moderate
21.02,5.82,4.93,
24.02,65.43,9.05,
36.43,31.83,14.38,low
20.3,39.92,22.05,moderate
-5.66,98.1,16.44,heavy
38.93,18.96,9.7,
-4.44,2.04,27.83,heavy
22.36,45.74,11.68,moderate
15.19,98.38,29.4,moderate
